,pays,cluster
0,Arménie,5
1,Afghanistan,1
2,Albanie,3
3,Algérie,5
4,Angola,1
5,Antigua-et-Barbuda,5
6,Argentine,3
7,Australie,3
8,Autriche,3
9,Bahamas,5
10,Barbade,5
11,Bangladesh,4
12,Bolivie (État plurinational de),2
13,Botswana,2
14,Brésil,3
15,Belize,2
16,Îles Salomon,1
17,Bulgarie,5
18,Myanmar,5
19,Burundi,1
20,Cameroun,2
21,Canada,3
22,Cabo Verde,4
23,République centrafricaine,1
24,Sri Lanka,4
25,Tchad,2
26,Chili,5
27,"Chine, continentale",5
28,Colombie,5
29,Comores,1
30,Congo,2
31,Costa Rica,5
32,Cuba,5
33,Chypre,5
34,Azerbaïdjan,5
35,Bénin,2
36,Danemark,3
37,Dominique,5
38,République dominicaine,5
39,Bélarus,5
40,Équateur,2
41,Égypte,5
42,El Salvador,4
43,Estonie,3
44,Fidji,5
45,Finlande,3
46,France,3
47,Polynésie française,5
48,Djibouti,4
49,Géorgie,4
50,Gabon,2
51,Gambie,1
52,Allemagne,3
53,Bosnie-Herzégovine,5
54,Ghana,2
55,Kiribati,5
56,Grèce,3
57,Grenade,5
58,Guatemala,2
59,Guinée,2
60,Guyana,5
61,Haïti,1
62,Honduras,2
63,Chine - RAS de Hong-Kong,3
64,Hongrie,5
65,Croatie,5
66,Islande,3
67,Inde,4
68,Indonésie,4
69,Iran (République islamique d'),4
70,Iraq,2
71,Irlande,3
72,Israël,3
73,Italie,3
74,Côte d'Ivoire,2
75,Kazakhstan,3
76,Jamaïque,5
77,Japon,5
78,Jordanie,2
79,Kirghizistan,5
80,Kenya,1
81,Cambodge,4
82,République populaire démocratique de Corée,1
83,République de Corée,3
84,Koweït,5
85,Lettonie,5
86,République démocratique populaire lao,4
87,Liban,4
88,Lesotho,1
89,Libéria,1
90,Libye,5
91,Lituanie,3
92,Chine - RAS de Macao,3
93,Madagascar,1
94,Malawi,2
95,Malaisie,5
96,Maldives,2
97,Mali,2
98,Malte,3
99,Mauritanie,2
100,Maurice,5
101,Mexique,5
102,Mongolie,5
103,Maroc,5
104,Mozambique,1
105,République de Moldova,4
106,Namibie,2
107,Népal,4
108,Pays-Bas,3
109,Nouvelle-Calédonie,5
110,Macédoine du Nord,5
111,Vanuatu,2
112,Nouvelle-Zélande,3
113,Nicaragua,4
114,Niger,2
115,Nigéria,2
116,Norvège,3
117,Pakistan,2
118,Panama,5
119,Tchéquie,5
120,Papouasie-Nouvelle-Guinée,2
121,Paraguay,5
122,Pérou,5
123,Philippines,5
124,Pologne,3
125,Portugal,3
126,Guinée-Bissau,1
127,Timor-Leste,1
128,Zimbabwe,1
129,Roumanie,3
130,Rwanda,1
131,Fédération de Russie,3
132,Saint-Kitts-et-Nevis,5
133,Sainte-Lucie,5
134,Saint-Vincent-et-les Grenadines,5
135,Sao Tomé-et-Principe,1
136,Arabie saoudite,5
137,Sénégal,2
138,Seychelles,5
139,Sierra Leone,1
140,Slovénie,5
141,Slovaquie,5
142,Afrique du Sud,5
143,Espagne,3
144,Suriname,5
145,Tadjikistan,2
146,Eswatini,4
147,Suède,3
148,Suisse,3
149,République arabe syrienne,4
150,Turkménistan,5
151,"Chine, Taiwan Province de",5
152,République-Unie de Tanzanie,1
153,Thaïlande,4
154,Togo,1
155,Trinité-et-Tobago,5
156,Oman,2
157,Tunisie,5
158,Turquie,5
159,Ouganda,1
160,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,3
161,Ukraine,5
162,États-Unis d'Amérique,3
163,Burkina Faso,2
164,Uruguay,5
165,Ouzbékistan,5
166,Venezuela (République bolivarienne du),4
167,Viet Nam,5
168,Éthiopie,2
169,Samoa,5
170,Yémen,1
171,République démocratique du Congo,1
172,Zambie,1
173,Belgique,3
174,Luxembourg,3
175,Serbie,5
176,Monténégro,3
177,Soudan,2
